minute,HR(bpm),grade
0,113.33116666666666,94.0%
1,116.47533333333332,
2,116.35683333333331,
3,102.44633333333331,
4,143.99433333333334,
5,121.89416666666666,
6,129.7075,
7,126.40616666666666,
8,112.30316666666666,
9,104.12283333333332,
10,132.7165,
11,118.90983333333334,
12,85.28233333333333,
13,80.51050000000001,
14,85.68633333333334,
15,77.2155,
16,80.23033333333333,
17,82.07549999999999,
18,81.655,
19,82.99133333333334,
20,80.28716666666666,
21,97.88633333333334,
22,76.85583333333334,
23,100.77016666666668,
24,109.47483333333334,
25,96.61166666666666,
26,100.74733333333332,
27,85.4515,
28,80.68866666666666,
29,84.1045,
30,78.591,
31,93.88266666666668,
32,155.4983333333333,
33,95.64983333333332,
34,90.92333333333332,
35,83.96016666666667,
36,72.89516666666667,
37,96.58033333333331,
38,97.204,
39,90.17183333333334,
40,93.1825,
41,92.282,
42,79.795,
43,91.72283333333333,
44,99.31666666666666,
45,88.66783333333333,
46,92.96016666666668,
47,88.78283333333334,
48,76.07683333333333,
49,74.05883333333333,
50,88.16933333333333,
51,69.17683333333333,
52,64.97183333333334,
53,93.35516666666668,
54,116.23083333333334,
55,103.6765,
56,93.28416666666666,
57,92.90166666666669,
58,87.02866666666667,
59,89.25333333333333,
60,78.52199999999999,
61,80.11933333333333,
62,109.07333333333332,
63,83.21783333333333,
64,86.24716666666667,
65,87.192,
66,89.106,
67,78.24849999999999,
68,74.59266666666667,
69,85.03883333333333,
70,90.47483333333334,
71,84.68916666666668,
72,73.22983333333333,
73,73.4255,
74,97.22316666666669,
75,93.45183333333333,
76,78.08166666666666,
77,71.38449999999999,
78,85.38533333333334,
79,101.27666666666669,
80,90.99566666666666,
81,89.30566666666667,
82,90.02183333333333,
83,90.30366666666669,
84,86.96633333333332,
85,82.61483333333334,
86,68.39916666666666,
87,68.64916666666666,
88,66.00733333333334,
89,80.8545,
90,76.49016666666667,
91,75.88183333333333,
92,74.8675,
93,81.19483333333332,
94,89.16283333333334,
95,83.13433333333333,
96,84.02316666666667,
97,79.81516666666667,
98,86.72,
99,79.3695,
100,71.68733333333333,
101,83.92516666666667,
102,95.88166666666666,
103,100.56766666666668,
104,111.56883333333332,
105,108.68916666666668,
106,132.8965,
107,110.25366666666667,
108,96.9705,
109,94.216,
110,104.41733333333332,
111,89.49983333333333,
112,82.18516666666666,
113,83.5255,
114,84.24766666666666,
115,88.55033333333334,
116,74.87066666666666,
117,73.63316666666667,
118,82.4485,
119,94.06433333333332,
120,76.70083333333334,
121,75.75233333333334,
122,85.89699999999999,
123,99.8245,
124,92.959,
125,93.94216666666668,
126,72.92049999999999,
127,75.679,
128,74.53116666666666,
129,73.02749999999999,
130,85.30866666666667,
131,90.62883333333336,
132,92.59283333333332,
133,91.56033333333332,
134,74.22266666666665,
135,77.635,
136,85.50966666666666,
137,85.37116666666667,
138,88.47116666666668,
139,93.945,
140,74.55333333333333,
141,71.9945,
142,78.07233333333333,
143,78.28733333333334,
144,85.54266666666668,
145,99.46733333333331,
146,89.6135,
147,89.4925,
148,75.29783333333333,
149,72.3815,
150,79.01033333333334,
151,67.69,
152,63.9945,
153,61.06283333333333,
154,69.91066666666667,
155,81.17416666666666,
156,84.29716666666667,
157,92.506,
158,93.31416666666668,
159,69.15100000000001,
160,79.38799999999999,
161,85.6415,
162,78.68816666666666,
163,91.7465,
164,80.05933333333334,
165,84.02983333333333,
166,90.02483333333333,
167,83.76849999999999,
168,78.905,
169,82.51533333333333,
170,83.38066666666667,
171,67.96933333333332,
172,74.60266666666666,
173,67.87066666666666,
174,80.81716666666667,
175,92.195,
176,75.634,
177,73.10333333333332,
178,77.9575,
179,82.64616666666667,
180,87.10166666666667,
181,84.414,
182,74.92699999999999,
183,81.74333333333334,
184,85.1185,
185,86.14699999999999,
186,95.92766666666668,
187,98.27383333333334,
188,94.48383333333332,
189,114.2155,
190,128.59233333333333,
191,106.534,
192,100.62933333333334,
193,100.04733333333334,
194,88.13466666666666,
195,72.90266666666666,
196,73.471,
197,85.29633333333332,
198,93.35933333333332,
199,98.36416666666668,
200,90.4575,
201,87.123,
202,100.13783333333336,
203,103.91116666666667,
204,87.88783333333332,
205,78.68900000000001,
206,70.29583333333333,
207,79.71149999999999,
208,84.78866666666666,
209,79.03533333333333,
210,88.46866666666666,
211,81.66516666666666,
212,101.74766666666666,
213,129.25716666666668,
214,144.57583333333332,
215,94.7375,
216,96.56033333333332,
217,91.95783333333334,
218,82.05183333333333,
219,72.86283333333334,
220,79.50583333333334,
221,95.91483333333332,
222,99.0515,
223,110.03183333333332,
224,109.93833333333332,
225,110.3665,
226,116.2255,
227,90.7095,
228,87.636,
229,103.7045,
230,106.41366666666666,
231,113.43116666666668,
232,132.381,
233,124.07233333333332,
234,129.654,
235,113.93116666666668,
236,109.324,
237,109.7805,
238,114.342,
239,114.25,
