minute,HR(bpm),grade
0,124.66366666666666,77.0%
1,162.28983333333332,
2,142.09783333333334,
3,116.9085,
4,143.20783333333333,
5,158.81,
6,130.2795,
7,123.2005,
8,123.3275,
9,118.67733333333334,
10,117.16533333333334,
11,99.10516666666668,
12,103.92383333333332,
13,118.48916666666668,
14,114.272,
15,82.11116666666666,
16,101.743,
17,98.74533333333332,
18,93.52733333333336,
19,92.923,
20,79.5765,
21,83.5085,
22,100.08433333333332,
23,100.90733333333333,
24,96.7035,
25,106.68316666666666,
26,107.02816666666666,
27,106.85416666666669,
28,102.93633333333334,
29,105.15616666666666,
30,105.27166666666668,
31,109.71533333333332,
32,108.94216666666668,
33,106.2465,
34,104.49383333333334,
35,106.7305,
36,112.959,
37,105.9145,
38,100.03433333333334,
39,100.36716666666666,
40,109.4805,
41,110.872,
42,102.97733333333332,
43,90.68483333333332,
44,104.53516666666664,
45,108.36883333333334,
46,109.38266666666668,
47,109.47216666666668,
48,112.6625,
49,108.62733333333334,
50,110.03783333333334,
51,106.41533333333334,
52,113.9185,
53,107.78583333333331,
54,109.21033333333334,
55,106.9085,
56,109.5525,
57,108.1145,
58,109.37,
59,110.82733333333334,
60,111.83383333333332,
61,107.73866666666666,
62,93.3125,
63,69.01966666666667,
64,60.175333333333334,
65,91.95233333333334,
66,109.974,
67,114.837,
68,112.60416666666669,
69,116.45983333333334,
70,113.54166666666669,
71,111.03866666666666,
72,104.2035,
73,105.8755,
74,113.882,
75,113.96566666666666,
76,114.83266666666668,
77,113.59616666666666,
78,109.73666666666666,
79,106.6085,
80,110.125,
81,112.41666666666669,
82,110.30333333333331,
83,112.22433333333332,
84,105.53433333333334,
85,100.66616666666668,
86,119.79116666666668,
87,119.73183333333331,
88,117.38533333333334,
89,111.05383333333332,
90,100.79416666666664,
91,113.916,
92,116.5525,
93,111.83816666666668,
94,113.28083333333332,
95,112.099,
96,106.856,
97,101.8355,
98,110.739,
99,111.43383333333333,
100,120.22066666666666,
101,113.72933333333334,
102,106.02716666666667,
103,109.62833333333332,
104,110.048,
105,106.26016666666666,
106,105.98316666666666,
107,113.015,
108,109.04683333333334,
109,106.69233333333334,
110,108.69933333333331,
111,99.91183333333332,
112,113.47566666666668,
113,114.7925,
114,114.939,
115,107.05383333333332,
116,111.68283333333332,
117,105.67716666666666,
118,110.31,
119,114.5485,
120,116.287,
121,112.37016666666666,
122,91.23566666666667,
123,94.33883333333333,
124,110.80816666666666,
125,113.733,
126,121.16266666666668,
127,137.50666666666666,
128,116.649,
129,87.6515,
130,87.30383333333333,
131,104.70633333333332,
132,100.30933333333334,
133,115.47616666666666,
134,118.15283333333332,
135,125.97183333333332,
136,99.94216666666668,
137,80.71516666666666,
138,75.09166666666667,
139,79.3445,
140,91.25466666666668,
141,102.4375,
142,92.41416666666667,
143,97.91266666666668,
144,81.509,
145,65.78466666666667,
146,76.37866666666667,
147,116.82,
148,128.0608333333333,
149,143.65,
