minute,HR(bpm),grade
0,101.38383333333331,78.5%
1,78.46983333333333,
2,72.24483333333333,
3,75.61216666666665,
4,108.43016666666668,
5,128.73066666666668,
6,131.15616666666668,
7,128.81583333333333,
8,102.52183333333332,
9,83.48033333333333,
10,87.50183333333332,
11,95.577,
12,97.13,
13,100.41216666666666,
14,102.73066666666666,
15,108.72216666666668,
16,96.39583333333331,
17,74.69616666666667,
18,79.19016666666667,
19,89.40483333333333,
20,89.73283333333333,
21,103.26116666666668,
22,102.78766666666668,
23,87.23233333333333,
24,105.36333333333332,
25,79.86333333333333,
26,71.883,
27,67.10566666666666,
28,101.41383333333332,
29,83.33766666666666,
30,84.79133333333333,
31,85.286,
32,100.36816666666668,
33,102.56416666666668,
34,107.9405,
35,104.18966666666668,
36,91.32433333333331,
37,97.01533333333332,
38,97.81283333333334,
39,114.1305,
40,114.99383333333334,
41,109.46183333333332,
42,99.81816666666668,
43,99.56283333333332,
44,95.4625,
45,76.55083333333333,
46,84.78683333333333,
47,108.67066666666666,
48,113.14916666666666,
49,116.343,
50,104.18316666666666,
51,103.43666666666668,
52,101.1345,
53,76.815,
54,79.87783333333333,
55,80.38850000000001,
56,89.38633333333334,
57,95.60616666666668,
58,84.66783333333333,
59,86.85249999999999,
60,94.65333333333334,
61,101.4975,
62,100.6745,
63,95.97,
64,91.67333333333332,
65,81.98083333333334,
66,98.8175,
67,89.95883333333333,
68,79.11116666666666,
69,85.44033333333333,
70,97.23716666666664,
71,107.198,
72,97.98966666666666,
73,103.18783333333332,
74,106.40716666666668,
75,109.08833333333334,
76,102.908,
77,105.97716666666666,
78,97.583,
79,86.12899999999999,
80,99.65283333333332,
81,96.98266666666667,
82,97.98566666666667,
83,108.23416666666668,
84,99.48933333333332,
85,106.26966666666668,
86,98.44316666666668,
87,99.73733333333332,
88,86.778,
89,66.50783333333332,
90,71.964,
91,68.53633333333333,
92,74.57033333333334,
93,83.30466666666666,
94,81.08716666666666,
95,83.8605,
96,81.11466666666666,
97,101.73483333333334,
98,107.05366666666669,
99,94.88066666666668,
100,92.6805,
101,93.06383333333332,
102,87.72766666666666,
103,79.49883333333334,
104,87.64666666666668,
105,90.14133333333332,
106,86.761,
107,96.98683333333334,
108,113.801,
109,111.72516666666668,
110,84.93116666666667,
111,73.5435,
112,74.72666666666667,
113,92.37533333333334,
114,84.1535,
115,81.27416666666666,
116,93.5085,
117,90.469,
118,88.977,
119,78.06333333333333,
120,88.14366666666666,
121,90.05850000000001,
122,79.0245,
123,73.51116666666667,
124,59.119166666666665,
125,65.81533333333333,
126,75.17216666666667,
127,85.82366666666667,
128,105.1485,
129,95.5065,
130,85.95516666666667,
131,75.76533333333333,
132,81.38833333333334,
133,88.33983333333335,
134,89.60816666666666,
135,86.937,
136,87.08316666666666,
137,78.05816666666666,
138,77.32366666666667,
139,75.22583333333334,
140,72.93166666666666,
141,83.55083333333333,
142,106.175,
143,97.47266666666664,
144,100.547,
145,103.36916666666666,
146,97.26183333333331,
147,84.08133333333333,
148,73.79533333333333,
149,81.52083333333333,
150,84.82199999999999,
151,89.26333333333334,
152,105.718,
153,103.76933333333334,
154,99.64883333333334,
155,94.80166666666668,
156,96.89366666666666,
157,101.723,
158,97.8385,
159,98.5045,
160,97.07416666666668,
161,95.742,
162,100.02716666666667,
163,102.72416666666666,
164,98.51533333333332,
165,100.34866666666667,
166,101.51333333333334,
167,104.212,
168,74.60633333333334,
169,67.486,
170,90.47766666666666,
171,109.62766666666668,
172,120.06033333333332,
173,107.94466666666668,
174,90.843,
175,74.5325,
176,89.14533333333334,
177,98.053,
178,92.68633333333334,
179,73.86916666666666,
180,84.26416666666667,
181,93.583,
182,83.209,
183,102.462,
184,119.248,
185,110.88066666666668,
186,107.6765,
187,85.61766666666668,
188,88.01683333333334,
189,99.9495,
190,85.1605,
191,87.0325,
192,100.07683333333333,
193,93.67633333333332,
194,82.85249999999999,
195,81.04183333333334,
196,77.29583333333333,
197,84.117,
198,86.92566666666667,
199,82.38000000000001,
200,82.18233333333333,
201,80.93916666666668,
202,77.966,
203,102.83816666666668,
204,91.97233333333334,
205,76.56316666666666,
206,77.89699999999999,
207,86.75500000000001,
208,83.54299999999999,
209,93.06233333333331,
210,114.19183333333334,
211,101.297,
212,100.15883333333332,
213,94.62,
214,102.44583333333334,
215,108.83333333333331,
216,104.5705,
217,102.59666666666666,
218,96.01033333333334,
219,84.27616666666667,
220,83.04483333333333,
221,97.917,
222,105.55333333333331,
223,99.32083333333334,
224,93.98983333333334,
225,113.92416666666666,
226,119.23566666666667,
227,92.12,
228,98.376,
229,104.54716666666668,
230,111.42133333333332,
231,115.81733333333334,
232,121.06033333333332,
233,123.8255,
234,121.02333333333333,
235,124.50016666666669,
236,119.51716666666668,
237,117.5685,
238,121.151,
239,118.13766666666668,
