minute,HR(bpm),grade
0,81.87933333333334,74.5%
1,84.43633333333334,
2,88.66866666666667,
3,72.71149999999999,
4,81.14,
5,108.65466666666666,
6,94.84066666666666,
7,105.13683333333331,
8,89.82466666666666,
9,90.0245,
10,113.09316666666668,
11,106.82983333333333,
12,125.7545,
13,109.03166666666668,
14,96.12466666666668,
15,120.5965,
16,118.061,
17,90.6545,
18,82.3145,
19,83.979,
20,80.7235,
21,93.013,
22,94.90866666666668,
23,87.91016666666665,
24,88.04283333333333,
25,102.40533333333332,
26,79.87233333333333,
27,82.7625,
28,77.30033333333334,
29,100.39816666666668,
30,101.5425,
31,83.29933333333334,
32,74.59416666666667,
33,79.2895,
34,79.76766666666667,
35,84.4765,
36,70.83316666666666,
37,78.33483333333334,
38,83.03616666666667,
39,82.65866666666668,
40,77.93883333333333,
41,81.00083333333333,
42,78.92933333333333,
43,66.789,
44,80.97366666666667,
45,84.82433333333333,
46,77.56583333333333,
47,77.37766666666667,
48,77.26583333333333,
49,79.44066666666666,
50,79.15166666666667,
51,67.07316666666667,
52,61.588,
53,59.712833333333336,
54,82.5835,
55,82.273,
56,72.08616666666667,
57,92.738,
58,77.14583333333333,
59,101.62916666666666,
60,94.91433333333332,
61,89.41016666666665,
62,85.341,
63,83.145,
64,77.83333333333333,
65,71.11616666666667,
66,68.72283333333333,
67,77.20100000000001,
68,70.562,
69,70.46266666666666,
70,71.49849999999999,
71,74.39483333333332,
72,78.41900000000001,
73,82.81433333333332,
74,77.9825,
75,74.151,
76,80.10233333333333,
77,79.63583333333332,
78,70.88766666666668,
79,71.648,
80,78.71233333333333,
81,76.4315,
82,72.98866666666666,
83,73.24266666666668,
84,81.76916666666666,
85,83.34549999999999,
86,68.00166666666667,
87,71.46516666666666,
88,74.2355,
89,75.09833333333333,
90,87.68983333333334,
91,105.23,
92,93.73633333333332,
93,101.19583333333334,
94,78.212,
95,73.13033333333333,
96,75.54783333333333,
97,74.36916666666666,
98,78.341,
99,77.62533333333333,
100,68.36233333333332,
101,69.5475,
102,80.00616666666666,
103,78.85866666666668,
104,74.31266666666667,
105,68.15299999999999,
106,77.45716666666667,
107,77.8375,
108,82.07733333333334,
109,80.91216666666668,
110,82.64033333333333,
111,74.07366666666667,
112,87.04583333333333,
113,100.28533333333333,
114,84.164,
115,74.59833333333333,
116,75.5855,
117,81.782,
118,73.46433333333333,
119,80.06833333333334,
120,81.09766666666665,
121,71.54899999999999,
122,81.43249999999999,
123,74.91000000000001,
124,78.472,
125,96.05966666666669,
126,83.87950000000001,
127,73.14333333333335,
128,73.14016666666666,
129,63.934,
130,73.81833333333334,
131,107.861,
132,116.47933333333334,
133,129.9115,
134,111.05983333333332,
135,90.44616666666668,
136,71.07466666666666,
137,71.023,
138,72.34883333333333,
139,62.09983333333333,
140,67.884,
141,70.20883333333333,
142,73.58833333333334,
143,96.17716666666666,
144,89.21233333333333,
145,95.94266666666668,
146,73.3755,
147,67.159,
148,69.58516666666667,
149,70.29066666666667,
150,71.59666666666666,
151,74.13766666666668,
152,72.88916666666667,
153,98.529,
154,116.19983333333332,
155,126.92283333333332,
156,141.07516666666666,
157,111.23483333333334,
158,93.74583333333334,
159,73.42733333333334,
160,76.5345,
161,74.22583333333334,
162,79.1715,
163,68.90083333333334,
164,78.03083333333333,
165,73.77266666666667,
166,79.9295,
167,97.30466666666666,
168,85.94366666666666,
169,73.9405,
170,78.34566666666666,
171,85.723,
172,95.45766666666668,
173,82.86333333333333,
174,81.488,
175,98.7,
176,117.77066666666666,
177,96.58683333333332,
178,90.7365,
179,105.58816666666668,
180,110.72216666666668,
181,78.77566666666667,
182,74.79716666666667,
183,80.71900000000001,
184,104.74983333333331,
185,95.05066666666669,
186,87.24483333333333,
187,90.23033333333332,
188,92.5255,
189,86.97800000000001,
190,90.01866666666666,
191,79.5265,
192,66.211,
193,76.6085,
194,98.25916666666669,
195,93.10166666666667,
196,79.29083333333332,
197,76.673,
198,87.49966666666666,
199,87.74,
200,69.86966666666667,
201,93.41033333333333,
202,72.35733333333333,
203,88.93366666666667,
204,99.172,
205,88.60466666666666,
206,82.37666666666668,
207,75.59966666666666,
208,84.92716666666666,
209,102.08533333333334,
210,115.81816666666668,
211,137.61933333333334,
212,126.563,
213,107.38983333333334,
214,105.49133333333334,
215,101.9155,
216,80.38083333333334,
217,79.79366666666667,
218,92.86,
219,105.08616666666668,
220,84.95616666666666,
221,92.30666666666666,
222,102.80866666666664,
223,95.881,
224,95.10016666666668,
225,90.4855,
226,86.4405,
227,102.9945,
228,98.063,
229,122.94133333333332,
230,131.67566666666667,
231,124.50066666666666,
232,127.53333333333332,
233,126.9385,
234,123.15,
235,105.825,
236,108.8025,
237,138.00133333333332,
238,184.102,
239,178.9655,
